drugbank_id,name,type,cas_number,groups,synonyms
DB00396,Progesterone,small molecule,57-83-0,approved|vet_approved,"(S)-4-Pregnene-3,20-dione|(S)-Pregn-4-en-3,20-dione|(S)-Progesterone|17alpha-Progesterone|17α-progesterone|4-Pregnene-3,20-dione|Agolutin|Akrolutin|Corpus Luteum Hormone|delta(4)-Pregnene-3,20-dione|Gelbkörperhormon|Luteohormone|Lutogynon|Pregn-4-ene-3,20-dione|Progesteron|Progesterona|Progestérone|Progesterone|Progesteronum"
DB00397,Phenylpropanolamine,small molecule,14838-15-4,approved|vet_approved|withdrawn,2-amino-1-phenylpropan-1-ol|Fenilpropanolamina|Norephedrin|Norephedrine|Phenylpropanolamin|Phénylpropanolamine|Phenylpropanolaminum|PPA|β-hydroxyamphetamine
DB00398,Sorafenib,small molecule,284461-73-0,approved|investigational,4-(4-((((4-Chloro-3-(trifluoromethyl)phenyl)amino)carbonyl)amino)phenoxy)-N-methyl-2-pyridinecarboxamide|N-(4-Chloro-3-(trifluoromethyl)phenyl)-n'-(4-(2-(N-methylcarbamoyl)-4-pyridyloxy)phenyl)urea|Sorafenibum
DB00399,Zoledronic acid,small molecule,118072-93-8,approved,"(1-hydroxy-2-(1H-imidazol-1-yl)ethylidene)bisphosphonic acid|(1-hydroxy-2-imidazol-1-ylethylidene)diphosphonic acid|Anhydrous Zoledronic Acid|Zol|Zoledronate|Zoledronic Acid Anhydrous|Zoledronic Acid, Anhydrous"
DB00400,Griseofulvin,small molecule,126-07-8,approved|vet_approved,"(+)-griseofulvin|Amudane|Curling factor|Fulcin|Fulvicin|Grifulvin|Griseofulvin|Griseofulvin, microcrystalline|Griseofulvin, ultramicrosize|Griseofulvina|Griseofulvine|Griseofulvinum|Grisovin|Grysio|Lamoryl|Likuden|Poncyl|Spirofulvin|Sporostatin"
DB00401,Nisoldipine,small molecule,63675-72-9,approved,"isobutyl methyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate|Nisoldipin|Nisoldipina|Nisoldipine|Nisoldipino|Nisoldipinum"
DB00402,Eszopiclone,small molecule,138729-47-2,approved,"(+)-(5S)-6-(5-Chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo(3,4-b)pyrazin-5-yl 4-methylpiperazine-1-carboxylate|(+)-(5S)-6-(5-chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo[3,4-b]pyrazin-5-yl-4-methylpiperazine-1-carboxylate|(+)-Zopiclone|(S)-6-(5-Chloro-2-pyridinyl)- 7-oxo- 6,7-dihydro- 5H-pyrrolo[3,4-b]pyrazin-5-yl- 4-methyl- 1-piperazinecarboxylate|(S)-Zopiclone|1-Piperazinecarobxylic acid,4-methyl-,(5S)-6-(5-chloro-2-pyridinyl)-6,7-dihydro-7-oxo-5H-pyrrolo[3,4-b]pyrazin-5-yl ester|Esopiclone|Estorra|Eszopiclone"
DB00403,Ceruletide,small molecule,17650-98-5,approved,Caerulein|Cerulein|Ceruletida|Ceruletidum
DB00404,Alprazolam,small molecule,28981-97-7,approved|illicit|investigational,"8-Chloro-1-methyl-6-phenyl-4H-S-triazolo(4,3-a)(1,4)benzodiazepine|Alprazolam"
DB00405,Dexbrompheniramine,small molecule,132-21-8,approved,"(+)-Brompheniraminum|(+)-parabromdylamine|(R)-3-(4-Bromophenyl)-3-(2-pyridyl)propyldimethylamine|(S)-(+)-Brompheniramine|(S)-Brompheniramine|3-(4-bromophenyl)- N,N-dimethyl- 3-pyridin-2-yl-propan-1-amine|D-Brompheniramine|Desbrofeniramina|Dexbromfeniramina|Dexbrompheniramin|Dexbromphéniramine|Dexbrompheniraminum|Parabromodylamine"
DB00406,Gentian Violet,small molecule,7438-46-2,approved,Crystal Violet|Crystal violet carbocation|Crystal violet ion(1)|Crystal violet(1+)|Gentian violet carbocation|Gentian violet cation|Gentian violet(1+)|Methylrosaniline|Methylrosanilinium
DB00407,Ardeparin,small molecule,9005-49-6,approved|investigational|withdrawn,
DB00408,Loxapine,small molecule,1977-10-2,approved,"2-Chloro-11-(4-methyl-1-piperazinyl)dibenz[b,f][1,4]oxazepine|Cloxazepine|Loxapina|Loxapine|Loxapinum|oxilapine"
DB00409,Remoxipride,small molecule,80125-14-0,approved|withdrawn,Remoxiprida|Remoxipride|Remoxipridum
DB00410,Mupirocin,small molecule,12650-69-0,approved|investigational|vet_approved,"9-[(E)-4-[(2S,3R,4R,5S)-3,4-dihydroxy-5-[[(2S,3S)-3- [(2S,3S)-3-hydroxybutan-2-yl]oxiran-2-yl]methyl] oxan-2-yl]-3-methylbut-2-enoyl]oxynonanoic acid|Mupirocina|Mupirocine|Mupirocinum|Pseudomonic acid|Pseudomonic acid a"
DB00411,Carbachol,small molecule,51-83-2,approved,"(2-Carbamoyloxyethyl)trimethylammonium chloride|(2-Hydroxyethyl)trimethyl ammonium chloride carbamate|(2-Hydroxyethyl)trimethylammonium chloride carbamate|2-((Aminocarbonyl)oxy)-N,N,N-trimethylethanaminium chloride|2-((Aminocarbonyl)oxy)-N,N,N-trimethylethanaminum chloride|Carbachol|Carbachol chloride|Carbacholum|Carbacol|Choline carbamate chloride|Choline chloride, carbamate|Choline chlorine carbamate|Karbachol|Karbamoylcholin chlorid"
DB00412,Rosiglitazone,small molecule,122320-73-4,approved|investigational,"(±)-5-[p-[2-(methyl-2-pyridylamino)ethoxy]benzyl]-2,4-thiazolidinedione|(RS)-5-{4-[2-(Methyl-2-pyridylamino)ethoxy]benzyl}-2,4-thiazolidinedion|Rosiglitazon|Rosiglitazona|Rosiglitazone|Rosiglitazonum"
DB00413,Pramipexole,small molecule,104632-26-0,approved|investigational,"(-)-Pramipexole|(S)-N  6-propyl-4,5,6,7-tetrahydro-1,3-benzothiazole-2,6-diamine|2,6-Benzothiazolediamine, 4,5,6,7-tetrahydro-N(sup 6)-propyl-, (S)-|Pramipexol|Pramipexole|Pramipexolum"
DB00414,Acetohexamide,small molecule,968-81-0,investigational|withdrawn,1-((p-Acetylphenyl)sulfonyl)-3-cyclohexylurea|1-[(4-acetylbenzene)sulfonyl]-3-cyclohexylurea 4-acetyl-N-(cyclohexylcarbamoyl)benzenesulfonamide|Acetohexamid|Acetohexamida|Acétohexamide|Acetohexamide|Acetohexamidum|N-(p-Acetylphenylsulfonyl)-N'-cyclohexylurea
DB00415,Ampicillin,small molecule,69-53-4,approved|vet_approved,"(2S,6R)-6-{[(2R)-2-amino-2-phenylethanoyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|6-(D-(2-amino-2-phenylacetamido))-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid|ABPC|Aminobenzylpenicillin|Ampicilina|Ampicillin|Ampicillin (anhydrous)|Ampicillin Acid|Ampicillin Anhydrous|Ampicillin, anhydrous|Ampicilline|Ampicillinum|Anhydrous ampicillin|AP|D-(−)-6-(α-aminophenylacetamido)penicillanic acid|D-(−)-ampicillin"
DB00416,Metocurine Iodide,small molecule,7601-55-0,withdrawn,"(+)-O,O'-Dimethylchondrocurarine Di-iodide|Dimethyl Tubocurarine Iodide|Dimethyltubocurarine Iodide|Dimethyltubocurarinium iodide|Dimetiltubocurarinio, ioduro de|Metocurine iodide|Metocurini Iodidum|Metokuriinijodidi|Metokurinjodid|Trimethyltubocurarine Iodide"
DB00417,Phenoxymethylpenicillin,small molecule,87-08-1,approved|vet_approved,"(2S,5R,6R)-3,3-DIMETHYL-7-OXO-6-(2-PHENOXYACETAMIDO)-4-THIA-1- AZABICYCLO(3.2.0)HEPTANE-2-CARBOXYLIC ACID|(2S,5R,6R)-3,3-dimethyl-7-oxo-6-[(phenoxyacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|6-phenoxyacetamidopenicillanic acid|Fenoximetilpenicilina|Oracillin|Penicillin Phenoxymethyl|Penicillin V|Phenoxomethylpenicillin|Phenoxymethyl Penicillin|Phenoxymethylenepenicillinic acid|Phénoxyméthylpénicilline|Phenoxymethylpenicillinum|PV"
DB00418,Secobarbital,small molecule,76-73-3,approved|vet_approved,"(+-)-Secobarbital|(±)-secobarbital|5-(1-Methylbutyl)-5-(2-propenyl)-2,4,6(1H,3H,5H)-pyrimidinetrione|5-Allyl-5-(1-methylbutyl)-2,4,6(1H,3H,5H)-pyrimidinetrione|5-allyl-5-(1-methylbutyl)barbituric acid|5-Allyl-5-(1-methylbutyl)pyrimidine-2,4,6(1H,3H,5H)-trione|Quinalbarbitone|Secobarbitalum|Secobarbitone|Seconal"
DB00419,Miglustat,small molecule,72599-27-0,approved,BuDNJ|Butyldeoxynojirimycin|Miglustatum|N-(N-Butyl)deoxynojirimycin|N-Butyl deoxynojirimycin|N-Butyl-1-deoxynojirimycin|N-Butylmoranoline|NB-dnj|SC-48334
DB00420,Promazine,small molecule,58-40-2,approved|vet_approved,"10-(3-(Dimethylamino)propyl)phenothiazine|Frenil|N-(3-Dimethylaminopropyl)phenothiazine|N-Dimethylamino-1-methylethyl thiodiphenylamine|N,N-dimethyl-3-(10H-phenothiazin-10-yl)-propan-1-amine|Promazin|Promazina|Promazine|Promazinum"
DB00421,Spironolactone,small molecule,52-01-7,approved,Espironolactona|Spironolactone|Spironolactonum|Spironolattone
DB00422,Methylphenidate,small molecule,20748-11-2,approved|investigational,Methyl phenidylacetate|methyl phenyl(piperidin-2-yl)acetate|methyl α-phenyl-α-(2-piperidyl)acetate|methyl α-phenyl-α-2-piperidinylacetate|Methylphenidan|Methylphenidatum|Metilfenidato|MPH|α-phenyl-2-piperidineacetic acid methyl ester
